ward_id,UOI_Score,Score_Health,Score_Edu,Score_Mobility,flood_risk_pct
10,74.41,100.0,98.5,40.0,56.95
11,71.33,100.0,86.62,40.0,67.34
5,70.39,100.0,51.92,64.24,23.54
9,68.63,100.0,77.08,40.0,45.32
6,68.34,100.0,76.08,40.0,66.88
2,66.54,100.0,81.9,34.19,19.85
18,65.39,100.0,66.53,40.0,49.0
12,63.87,99.52,62.22,40.0,79.7
13,62.26,96.65,59.28,40.0,23.42
17,61.95,98.95,57.02,40.0,71.53
4,43.12,100.0,23.48,31.42,23.31
8,34.48,100.0,8.9,40.0,41.62
14,22.28,100.0,1.05,52.43,57.36
1,15.86,99.85,0.0,38.54,52.48
7,15.71,93.65,0.0,40.0,12.86
3,15.31,100.0,0.0,34.53,31.21
19,14.98,84.3,0.0,38.42,41.29
15,14.89,79.47,0.0,40.0,49.37
16,14.75,83.65,0.0,36.91,35.77
